City,Average Rainfall Annually,Winter Rainfall,Spring Rainfall,Summer Rainfall,Fall Rainfall,Latitude,Longitude,Cluster
Spicewood,32.41,1.84,2.15,2.04,3.4,-98.150002,30.466667,1
Splendora,48.49,3.78,2.67,3.43,5.2,-95.166664,30.216667,5
Spring,50.48,3.55,3.39,3.84,5.3,-95.383331,30.049999,5
Spring Branch,35.56,2.16,2.26,2.99,4.33,-98.416664,29.883333,1
Springtown,37.67,2.08,3.14,2.3,3.99,-97.666664,32.966667,3
Spurger,56.18,4.57,3.89,3.85,4.85,-94.166664,30.683332,4
Stafford,49.48,3.6,3.32,4.36,5.23,-95.550003,29.616667,5
Star,32.66,1.73,2.71,2.32,3.1,-98.300003,31.466667,1
Sugar Land,49.48,3.6,3.32,4.36,5.23,-95.599998,29.583332,5
Sulphur Springs,44.8,3,3.41,3.29,4.06,-95.599998,33.133331,2
Sumner,46.77,2.75,4.12,3.03,5.23,-95.666664,33.733334,5
Sunnyvale,38.58,2.19,3.24,2.22,4.52,-96.566666,32.799999,3
Sweeny,50.86,4.45,2.53,4.56,5.3,-95.699997,29.033333,5
Talco,47.42,2.77,3.34,3.68,5.22,-95.099998,33.349998,5
Tatum,47.55,3.32,3.22,2.89,4.58,-94.51667,32.299999,5
Taylor,35.17,2.55,2.08,1.71,4.29,-97.400002,30.566668,1
Temple,36.78,2.13,2.59,1.93,3.97,-97.349998,31.083332,3
Tennessee Colony,45.14,3.21,3.13,2.87,5.06,-95.833336,31.833332,2
Terrell,42.39,3.06,2.3,4.06,4.78,-96.26667,32.733334,2
Texarkana,49.17,3.75,3.79,3.29,4.92,-94.066666,33.433334,5
Texas City,56.81,4.47,3.31,4.58,5.93,-94.900002,29.383333,4
The Colony,42.72,2.97,2.46,4,4.67,-96.883331,33.083332,2
Thorndale,34.16,2.23,2.06,1.7,3.58,-97.199997,30.6,1
Timpson,51.43,4.38,3.78,3.31,5.15,-94.383331,31.9,5
Tolar,36.87,1.91,2.78,2.24,3.81,-97.916664,32.383331,3
Tom Bean,41.23,2.45,3.44,2.57,4.81,-96.466667,33.516666,2
Tomball,50.48,3.55,3.39,3.84,5.3,-95.616669,30.083332,5
Troup,46.3,4,3.07,2.97,5.22,-95.116669,32.133331,5
Troup,46.3,4,3.07,2.97,5.22,-95.116669,32.133331,5
Troy,36.11,2.25,2.32,2.06,3.59,-97.300003,31.200001,1
Tyler,46.63,3.42,3.1,2.75,4.91,-95.300003,32.349998,5
Universal City,32.27,1.76,2.1,2.74,4.11,-98.300003,29.549999,1
Valley View,40.52,2.24,3.19,2.37,4.43,-97.150002,33.483334,3
Van,45.79,3.06,3.17,2.64,4.85,-95.633331,32.516666,2
Van Alstyne,41.22,2.52,2.82,4.18,4.64,-96.566666,33.416668,2
Venus,41.01,3.09,1.82,4.01,4.48,-97.099998,32.416668,2
Victoria,42.71,3.06,2.43,3.48,4.45,-96.98333,28.816668,2
Vidor,60.47,5.26,3.21,5.95,5.58,-93.98333,30.116667,4
Waco,34.69,2.12,2.69,1.79,3.9,-97.150002,31.549999,1
Wadsworth,44.59,3.37,2.6,4.76,4.98,-95.933334,28.816668,2
Waelder,37.68,2.47,2.47,2.35,4.49,-97.283333,29.683332,3
Walburg,37.32,2.18,2.73,2.07,4.19,-97.566666,30.733334,3
Waller,45.53,3.21,3.39,3.31,4.82,-95.916664,30.049999,2
Wallisville,57.11,4.47,3.59,5.45,5.06,-94.73333,29.833332,4
Waskom,51.57,4.18,4.03,3.46,5.3,-94.050003,32.466667,5
Waxahachie,43.06,3.1,3.41,2.14,4.81,-96.833336,32.383331,2
Weimar,41.68,3.54,2.8,2.37,4.63,-96.76667,29.700001,2
West Columbia,50.86,4.45,2.53,4.56,5.3,-95.633331,29.133333,5
Wharton,47.47,3.37,3.28,4.03,5.55,-96.099998,29.299999,5
White Oak,47.55,3.32,3.22,2.89,4.58,-94.849998,32.516666,5
Whitehouse,46.63,3.42,3.1,2.75,4.91,-95.216667,32.216667,5
Whitesboro,41.27,2.13,3.37,3.79,3.93,-96.900002,33.650002,2
Whitney,36.06,2.05,2.84,1.87,3.92,-97.316666,31.950001,1
Willis,48.49,3.78,2.67,3.43,5.2,-95.466667,30.416668,5
Wills Point,42.7,1.96,3.87,2.58,4.64,-96,32.700001,2
Wilmer,41.75,3.27,2.87,2.75,3.89,-96.666664,32.583332,2
Wimberley,37.58,2.25,2.38,2.91,4.21,-98.099998,29.983334,3
Winfield,47.42,2.77,3.34,3.68,5.22,-95.099998,33.150002,5
Winnie,60.47,5.26,3.21,5.95,5.58,-94.383331,29.816668,4
Winnsboro,43.74,2.75,3.03,2.72,4.85,-95.283333,32.950001,2
Woodsboro,34.43,1.9,1.78,3.27,4.06,-97.316666,28.233334,1
Woodville,56.18,4.57,3.89,3.85,4.85,-94.416664,30.766666,4
Woodway,34.69,2.12,2.69,1.79,3.9,-97.216667,31.5,1
Wortham,41.68,3.54,2.8,2.37,4.63,-96.449997,31.783333,2
Yoakum,37.11,2.51,2.25,3.25,4.19,-97.133331,29.283333,3
